ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1002,1064,>
2,1002,1066,<
3,1002,1078,<
4,1011,1015,>
5,1015,1011,<
6,1017,1020,<
7,1018,1020,<
8,1019,1060,<
9,1019,1078,<
10,1020,1017,>
11,1020,1018,>
12,1024,1019,M
13,1025,1034,<
14,1027,1034,<
15,1029,1152,>
16,1032,1031,M
17,1034,1025,>
18,1034,1027,>
19,1038,1019,M
20,1046,1049,<
21,1046,1051,<
22,1047,1049,<
23,1047,1051,<
24,1048,1049,<
25,1049,1046,>
26,1049,1047,>
27,1049,1048,>
28,1051,1046,>
29,1051,1047,>
30,1058,1060,<
31,1060,1019,>
32,1060,1058,>
33,1061,1062,>
34,1061,1063,>
35,1062,1061,M
36,1063,1061,M
37,1063,1062,M
38,1064,1002,M
39,1065,1066,<
40,1066,1002,>
41,1066,1065,>
42,1066,1077,>
43,1066,1125,>
44,1076,1123,>
45,1076,1124,>
46,1077,1066,<
47,1078,1002,>
48,1078,1019,>
49,1084,1087,<
50,1085,1087,<
51,1086,1087,<
52,1087,1084,>
53,1087,1085,>
54,1087,1086,>
55,1088,1089,>
56,1088,1090,>
57,1088,1091,>
58,1088,1092,>
59,1088,1133,>
60,1089,1092,>
61,1089,1135,>
62,1089,1136,>
63,1089,1088,M
64,1090,1088,M
65,1091,1088,M
66,1092,1088,M
67,1093,1094,>
68,1094,1093,M
69,1096,1019,M
70,1108,1019,M
71,1113,1019,M
72,1123,1076,<
73,1124,1076,<
74,1125,1066,M
75,1133,1088,M
76,1135,1089,M
77,1136,1089,M
78,1152,1029,M
79,3001,3022,<
80,3002,3005,>
81,3002,3022,<
82,3002,3024,<
83,3003,3024,<
84,3004,3003,M
85,3005,3002,M
86,3007,3003,M
87,3008,3003,M
88,3009,3003,M
89,3014,3015,>
90,3015,3014,M
91,3017,3020,>
92,3020,3017,M
93,3022,3001,>
94,3022,3002,>
95,3024,3002,>
96,3024,3003,>
97,3033,3144,>
98,3043,3037,M
99,3045,3037,M
100,3047,3046,M
101,3048,3046,M
102,3059,3003,M
103,3070,3065,M
104,3071,3065,M
105,3074,3037,M
106,3075,3065,M
107,3086,3084,M
108,3093,3090,M
109,3106,3090,M
110,3112,3046,M
111,3126,3037,M
112,3136,3046,M
113,3140,3090,M
114,3141,3046,M
115,3142,3090,M
116,3144,3033,<
